1,25,49.00,\N,0.00,"Rejected"
2,45,34.00,\N,0.00,"Rejected"
3,39,11.00,\N,0.00,"Rejected"
4,35,100.00,\N,0.00,"Rejected"
5,35,45.00,\N,0.00,"Rejected"
6,37,29.00,\N,155.00,"Rejected"
7,53,72.00,\N,0.00,"Rejected"
8,50,22.00,\N,0.00,"Rejected"
9,35,81.00,\N,104.00,"Rejected"
10,34,180.00,\N,0.00,"Approved"
11,65,105.00,\N,0.00,"Rejected"
12,29,45.00,\N,0.00,"Rejected"
13,48,114.00,\N,0.00,"Rejected"
14,59,40.00,\N,0.00,"Rejected"
15,67,112.00,\N,0.00,"Rejected"
16,60,22.00,\N,0.00,"Rejected"
17,38,130.00,\N,134.00,"Approved"
18,42,81.00,\N,0.00,"Rejected"
19,46,193.00,\N,0.00,"Approved"
20,55,21.00,\N,0.00,"Rejected"
21,56,25.00,\N,111.00,"Rejected"
22,57,63.00,\N,0.00,"Rejected"
23,29,62.00,\N,260.00,"Rejected"
24,44,43.00,\N,163.00,"Rejected"
25,36,152.00,\N,159.00,"Rejected"
26,43,29.00,\N,97.00,"Rejected"
27,40,83.00,\N,0.00,"Rejected"
28,46,158.00,\N,0.00,"Rejected"
29,56,48.00,\N,0.00,"Rejected"
30,38,119.00,\N,0.00,"Approved"
31,59,35.00,\N,122.00,"Rejected"
32,40,29.00,\N,0.00,"Rejected"
33,53,41.00,\N,193.00,"Rejected"
34,30,18.00,\N,0.00,"Rejected"
35,31,50.00,\N,0.00,"Rejected"
36,48,81.00,\N,0.00,"Rejected"
37,59,121.00,\N,0.00,"Rejected"
38,51,71.00,\N,198.00,"Rejected"
39,42,141.00,\N,0.00,"Approved"
40,38,80.00,\N,285.00,"Rejected"
41,57,84.00,\N,0.00,"Rejected"
42,34,60.00,\N,0.00,"Rejected"
43,32,132.00,\N,412.00,"Approved"
44,39,45.00,\N,0.00,"Rejected"
45,46,104.00,\N,0.00,"Rejected"
46,57,52.00,\N,0.00,"Rejected"
47,39,43.00,\N,153.00,"Rejected"
48,37,194.00,\N,211.00,"Approved"
49,56,81.00,\N,0.00,"Rejected"
50,40,49.00,\N,0.00,"Rejected"
51,32,8.00,\N,0.00,"Rejected"
52,61,131.00,\N,0.00,"Rejected"
53,30,72.00,\N,207.00,"Rejected"
54,50,190.00,\N,240.00,"Approved"
55,29,44.00,\N,0.00,"Rejected"
56,41,139.00,\N,0.00,"Rejected"
57,55,29.00,\N,0.00,"Rejected"
58,56,131.00,\N,0.00,"Approved"
59,28,93.00,\N,0.00,"Rejected"
60,31,188.00,\N,455.00,"Rejected"
61,49,39.00,\N,0.00,"Rejected"
62,47,125.00,\N,112.00,"Rejected"
63,42,22.00,\N,0.00,"Rejected"
64,42,32.00,\N,0.00,"Rejected"
65,47,105.00,\N,0.00,"Rejected"
66,59,131.00,\N,0.00,"Rejected"
67,62,105.00,\N,336.00,"Rejected"
68,53,45.00,\N,132.00,"Rejected"
69,47,60.00,\N,0.00,"Rejected"
70,53,20.00,\N,0.00,"Rejected"
71,42,115.00,\N,0.00,"Rejected"
72,53,69.00,\N,0.00,"Rejected"
73,44,130.00,\N,0.00,"Rejected"
74,41,85.00,\N,0.00,"Rejected"
75,28,135.00,\N,0.00,"Rejected"
76,31,135.00,\N,0.00,"Approved"
77,58,12.00,\N,0.00,"Rejected"
78,46,29.00,\N,0.00,"Rejected"
79,54,133.00,\N,0.00,"Approved"
80,50,19.00,\N,118.00,"Rejected"
81,60,41.00,\N,174.00,"Rejected"
82,47,40.00,\N,0.00,"Rejected"
83,41,82.00,\N,0.00,"Rejected"
84,33,50.00,\N,0.00,"Rejected"
85,46,18.00,\N,0.00,"Rejected"
86,27,109.00,\N,0.00,"Rejected"
87,40,42.00,\N,126.00,"Rejected"
88,48,78.00,\N,0.00,"Rejected"
89,65,51.00,\N,0.00,"Rejected"
90,25,113.00,\N,0.00,"Rejected"
91,55,118.00,\N,0.00,"Approved"
92,35,29.00,\N,0.00,"Rejected"
93,43,34.00,\N,0.00,"Rejected"
94,60,64.00,\N,236.00,"Rejected"
95,65,121.00,\N,0.00,"Rejected"
96,38,48.00,\N,0.00,"Rejected"
97,41,80.00,\N,0.00,"Rejected"
98,54,161.00,\N,0.00,"Rejected"
99,49,94.00,\N,0.00,"Rejected"
100,66,15.00,\N,0.00,"Rejected"
101,48,74.00,\N,0.00,"Rejected"
102,61,30.00,\N,0.00,"Rejected"
103,53,44.00,\N,198.00,"Rejected"
104,43,22.00,\N,0.00,"Rejected"
105,56,38.00,\N,166.00,"Rejected"
106,24,35.00,\N,0.00,"Rejected"
107,43,69.00,\N,0.00,"Rejected"
108,42,43.00,\N,136.00,"Rejected"
109,33,32.00,\N,166.00,"Rejected"
110,43,49.00,\N,0.00,"Rejected"
111,41,9.00,\N,0.00,"Rejected"
112,62,45.00,\N,0.00,"Rejected"
113,40,82.00,\N,309.00,"Rejected"
114,58,92.00,\N,103.00,"Rejected"
115,39,39.00,\N,0.00,"Rejected"
116,65,81.00,\N,0.00,"Rejected"
117,54,35.00,\N,0.00,"Rejected"
118,58,61.00,\N,193.00,"Rejected"
119,41,73.00,\N,0.00,"Rejected"
120,32,112.00,\N,366.00,"Rejected"
121,54,12.00,\N,0.00,"Rejected"
122,52,38.00,\N,0.00,"Rejected"
123,58,73.00,\N,0.00,"Rejected"
124,37,84.00,\N,0.00,"Rejected"
125,39,78.00,\N,118.00,"Rejected"
126,60,80.00,\N,0.00,"Rejected"
127,31,115.00,\N,101.00,"Rejected"
